psraid,cregion,fips,state,kidage,kidgen,age,educ,income,playgame,k17game,k28game
634,1,34017,34,16,1,35,3,4,1,"MADDEN, NBA LIVE, NASCAR",
16854,1,34003,34,13,2,56,5,5,1,"THE SIMS 2, CRAZY TAXI 4, SIM PETS","WORD SEARCH, BRAIN TEASERS, POLITICAL GAMES"
14856,1,34003,34,14,1,53,7,8,1,"CALL OF DUTY 4, GUITAR HERO 3, ORANGE BOX",
14752,1,34003,34,12,1,52,6,8,1,"HALO 3, GUITAR HERO, MARIO GALAXY",
115,1,34003,34,14,1,55,7,6,1,"HALO 3, GUITER HERO, BLOON'S POWER DEFENSE 2",
1404,3,11001,11,17,1,63,5,6,1,"HALO 3, RAINBOW6, FINAL FANASTY",
14866,1,9009,9,12,1,33,7,8,1,"GEARS OF WAR, HALO 3, MADDEN 08",
4152,1,9009,9,13,2,50,3,8,1,"THE 'SIMS, THE SIMS 2, CREATURES",
14797,1,9009,9,17,1,51,3,7,1,"MEDAL OF HONOR, GUITAR HERO, MADDEN 08",
14771,1,9001,9,13,1,38,6,7,1,"HALO 3, GUITAR HERO,|MARIO PARTY",
6035,1,9001,9,14,2,52,4,5,1,"PACMAN, TETRIS",
3123,1,9009,9,17,1,40,6,6,1,PRO EVOLUTION SOCCER 2007,
14762,1,9009,9,13,1,39,2,1,1,"DRAGON BALL Z, BUDDHA KAI, TEN KAI EG",FUN BRAIN
15798,3,1009,1,17,2,42,9,5,1,"SODUKO, CROSSWORD PUZZLES, WORD SEARCH",WORD SEARCH
16342,3,1063,1,16,2,42,6,3,0,,
6417,3,1115,1,13,2,42,3,5,1,THE SIMS: CASTAWAY,
3926,3,1117,1,13,1,44,7,6,1,"TETRIS, MEDAL OF HONOR, NCAA FOOTBALL 07",
8412,3,1073,1,16,1,46,5,9,1,"HALO 3, CALL OF DUTY 4, TETRIS",
14823,3,1073,1,15,1,45,5,5,1,"MADDEN, DOUBLE 07",
6106,4,53033,53,17,2,60,3,9,1,,
9871,4,53033,53,16,1,52,5,5,1,"MARIO KART, TETRIS",
15895,4,53033,53,17,2,48,6,9,1,"SOLITAIRE, TETRIS, HEARTS",
9315,4,53033,53,14,1,47,6,7,1,"MEDAL OF HONOR, FRONTLINE, HALO 2",HYPERSHARK OR TETRIS
11403,1,23031,23,13,1,57,5,6,1,"WORLD OF WARCRAFT, HALO 3, RISE OF THE NINJA",
8874,4,16045,16,15,1,39,3,4,1,"RAINBOW SIX, MADDEN 08, WORLD OF WARCRAFT",
4903,4,16001,16,15,2,47,5,5,1,GUITAR HERO,
8260,4,16027,16,12,2,30,2,3,1,STRATEGIC GAMES,TYPE TO LEARN
15366,4,16055,16,13,2,38,5,9,1,I DON'T KNOW....DON'T PLAY MANY GAMES,FOR A SOCIAL STUDIES CLASS...PUTTING ALL THE STATES TOGETHER.
6138,4,16005,16,15,2,48,5,7,1,,
15143,4,16055,16,14,1,33,3,9,1,"BURNOUT, DEVIL MAY CRY,  GUITAR HERO",NO RESPONSE
5191,4,16001,16,14,1,31,3,6,1,,A MATH GAME
3701,4,6047,6,13,2,32,5,5,1,"RATCHET AND CLANK, FROGGER, SPONGEBOB",
5066,4,6077,6,16,2,49,6,7,1,,
13361,4,6099,6,14,1,35,5,8,1,"ROCK BAND, HALO 3, BIOSHOCK",READER RABBIT
13355,4,6099,6,14,2,41,3,4,1,"SOLITAIRE, MARIO KART RACING",GAME OF MATHEMATICS
3381,4,6109,6,13,2,36,5,9,1,"UNO, MARIO, CAR RACING GAME",
3245,4,6047,6,15,2,51,7,8,1,"SOLITAIRE, WORD GAMES",
15897,4,6077,6,17,1,47,3,8,1,"GEARS OF WAR, HALO 3, STARCRAFT",OREGON TRAIL
2678,4,6099,6,13,2,43,6,8,1,"NARUTO, MARIO KART",
14774,3,48029,48,12,2,32,6,5,1,"SUPER MARIO, DOGS, HALO 03",
14826,3,48029,48,15,2,58,3,3,1,"GRAND THEFT AUTO, HALO 2",
10095,3,48029,48,16,1,40,6,6,1,"HALO 3, THE ELDERSCROLLS IV OBLIVION, FINAL FANTSY 2",COUNTER STRIKE
14968,3,48029,48,14,2,39,4,1,1,"THE SIMS, TETRIS, SALOY SALON",
8017,3,48029,48,16,1,51,7,6,1,"ASSASSIN'S CREED, HALO 3, GUITAR HERO 3",
8660,3,48029,48,12,1,41,6,6,1,"GUITAR HERO 3, WORLD OF WARCRAFT, HALO 3",
14765,3,48029,48,13,1,49,5,5,1,,MATH 2
5033,3,48029,48,14,2,44,6,4,1,"YACHTZEE , WII SPORTS, CARD GAMES",
14758,1,36061,36,14,1,58,7,8,1,"NBA 2K8, MADDEN 08, TENNIS",
7827,1,36061,36,12,2,37,5,3,1,"HANNAH MONTANA, THATS SO RAVEN, THE SUITE LIFE OF ZACH AND CODY",
1278,1,42101,42,13,1,40,3,1,1,"BATTLE ON, HALO, SUPER SMASH BROTHERS",SMASH 24
3761,1,42101,42,16,1,56,3,8,1,"WORLD OF WARCRAFT, MADDDEN 08, HALO 3",
